C:\Users\yasha\Desktop\IMG\center_2026_07_31_14_38_31_159.jpg,C:\Users\yasha\Desktop\IMG\left_2026_07_31_14_38_31_159.jpg,C:\Users\yasha\Desktop\IMG\right_2026_07_31_14_38_31_159.jpg,0,0,0,3.251256E-06
C:\Users\yasha\Desktop\IMG\center_2026_07_31_14_38_31_241.jpg,C:\Users\yasha\Desktop\IMG\left_2026_07_31_14_38_31_241.jpg,C:\Users\yasha\Desktop\IMG\right_2026_07_31_14_38_31_241.jpg,0,0,0,1.499473E-06
C:\Users\yasha\Desktop\IMG\center_2026_07_31_14_38_31_315.jpg,C:\Users\yasha\Desktop\IMG\left_2026_07_31_14_38_31_315.jpg,C:\Users\yasha\Desktop\IMG\right_2026_07_31_14_38_31_315.jpg,0,0,0,9.687878E-06
C:\Users\yasha\Desktop\IMG\center_2026_07_31_14_38_31_394.jpg,C:\Users\yasha\Desktop\IMG\left_2026_07_31_14_38_31_394.jpg,C:\Users\yasha\Desktop\IMG\right_2026_07_31_14_38_31_394.jpg,0,0,0,1.711863E-06
C:\Users\yasha\Desktop\IMG\center_2026_07_31_14_38_31_465.jpg,C:\Users\yasha\Desktop\IMG\left_2026_07_31_14_38_31_465.jpg,C:\Users\yasha\Desktop\IMG\right_2026_07_31_14_38_31_465.jpg,0,0,0,5.852874E-06
C:\Users\yasha\Desktop\IMG\center_2026_07_31_14_38_31_549.jpg,C:\Users\yasha\Desktop\IMG\left_2026_07_31_14_38_31_549.jpg,C:\Users\yasha\Desktop\IMG\right_2026_07_31_14_38_31_549.jpg,0,0,0,4.269434E-06
C:\Users\yasha\Desktop\IMG\center_2026_07_31_14_38_31_628.jpg,C:\Users\yasha\Desktop\IMG\left_2026_07_31_14_38_31_628.jpg,C:\Users\yasha\Desktop\IMG\right_2026_07_31_14_38_31_628.jpg,0,0,0,7.082097E-06
C:\Users\yasha\Desktop\IMG\center_2026_07_31_14_38_31_695.jpg,C:\Users\yasha\Desktop\IMG\left_2026_07_31_14_38_31_695.jpg,C:\Users\yasha\Desktop\IMG\right_2026_07_31_14_38_31_695.jpg,0,0,0,1.241354E-05
C:\Users\yasha\Desktop\IMG\center_2026_07_31_14_38_31_775.jpg,C:\Users\yasha\Desktop\IMG\left_2026_07_31_14_38_31_775.jpg,C:\Users\yasha\Desktop\IMG\right_2026_07_31_14_38_31_775.jpg,0,0,0,6.962824E-06
C:\Users\yasha\Desktop\IMG\center_2026_07_31_14_38_31_857.jpg,C:\Users\yasha\Desktop\IMG\left_2026_07_31_14_38_31_857.jpg,C:\Users\yasha\Desktop\IMG\right_2026_07_31_14_38_31_857.jpg,0,0,0,6.501466E-06
